"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2017","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,300",""
"1991","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1992","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1993","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1994","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1995","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,200",""
"1996","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,600",""
"1997","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,600",""
"1998","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,500",""
"1999","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,700",""
"2000","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","11,200",""
"2001","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","11,500",""
"2002","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","11,800",""
"2003","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","12,200",""
"2004","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","12,800",""
"2005","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","13,600",""
"2006","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","14,500",""
"2007","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","15,200",""
"2008","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","15,400",""
"2009","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","14,600",""
"2010","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","14,900",""
"2011","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","15,200",""
"2012","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","15,100",""
"2013","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","15,000",""
"2014","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","15,400",""
"2015","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,200",""
"2016","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,500",""
"2017","Czechia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","17,200",""
"1991","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","34,000",""
"1992","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","34,600",""
"1993","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","34,500",""
"1994","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","36,200",""
"1995","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","37,100",""
"1996","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","38,000",""
"1997","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","39,000",""
"1998","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","39,800",""
"1999","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","40,800",""
"2000","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","42,200",""
"2001","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","42,400",""
"2002","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","42,400",""
"2003","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","42,500",""
"2004","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","43,500",""
"2005","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","44,400",""
"2006","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","46,000",""
"2007","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","46,200",""
"2008","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","45,700",""
"2009","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","43,200",""
"2010","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","43,800",""
"2011","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","44,200",""
"2012","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","44,200",""
"2013","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","44,400",""
"2014","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","44,900",""
"2015","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","45,600",""
"2016","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","46,300",""
"2017","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","47,100",""
"1991","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","25,500",""
"1992","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","25,800",""
"1993","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","25,400",""
"1994","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","26,000",""
"1995","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","26,400",""
"1996","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","26,500",""
"1997","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","27,000",""
"1998","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","27,600",""
"1999","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","28,100",""
"2000","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","29,000",""
"2001","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","29,400",""
"2002","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","29,400",""
"2003","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","29,200",""
"2004","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","29,600",""
"2005","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","29,800",""
"2006","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","31,000",""
"2007","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","32,100",""
"2008","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","32,500",""
"2009","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","30,800",""
"2010","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","32,100",""
"2011","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","33,300",""
"2012","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","33,400",""
"2013","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","33,500",""
"2014","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","34,100",""
"2015","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","34,400",""
"2016","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","34,900",""
"2017","Germany","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","35,500",""
"1991","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1992","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1993","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1994","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1995","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","5,500",""
"1996","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","5,900",""
"1997","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,600",""
"1998","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","7,000",""
"1999","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","7,000",""
"2000","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","7,600",""
"2001","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","8,100",""
"2002","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","8,700",""
"2003","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","9,400",""
"2004","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,000",""
"2005","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","11,100",""
"2006","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","12,300",""
"2007","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","13,300",""
"2008","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","12,600",""
"2009","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,800",""
"2010","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","11,000",""
"2011","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","11,900",""
"2012","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","12,500",""
"2013","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","12,800",""
"2014","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","13,200",""
"2015","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","13,400",""
"2016","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","13,900",""
"2017","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","14,600",""
"1991","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1992","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1993","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1994","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1995","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","22,400",""
"1996","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","24,000",""
"1997","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","26,300",""
"1998","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","28,200",""
"1999","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","30,800",""
"2000","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","33,300",""
"2001","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","34,500",""
"2002","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","35,900",""
"2003","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","36,400",""
"2004","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","38,100",""
"2005","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","39,400",""
"2006","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","40,300",""
"2007","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","41,200",""
"2008","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","38,500",""
"2009","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","36,300",""
"2010","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","36,800",""
"2011","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","38,000",""
"2012","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","37,900",""
"2013","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","38,200",""
"2014","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","41,300",""
"2015","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","51,200",""
"2016","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","53,100",""
"2017","Ireland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","56,400",""
"1991","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1992","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1993","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1994","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1995","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","15,000",""
"1996","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","15,400",""
"1997","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,000",""
"1998","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,500",""
"1999","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","17,000",""
"2000","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","17,600",""
"2001","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","18,200",""
"2002","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","18,900",""
"2003","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","19,900",""
"2004","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","20,900",""
"2005","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","20,900",""
"2006","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","22,000",""
"2007","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","22,700",""
"2008","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","22,600",""
"2009","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","21,500",""
"2010","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","20,300",""
"2011","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","18,500","p"
"2012","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","17,200","p"
"2013","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,800","p"
"2014","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","17,000","p"
"2015","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","17,100","p"
"2016","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","17,100","p"
"2017","Greece","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","17,400","p"
"1991","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1992","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1993","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1994","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1995","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","17,900",""
"1996","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","18,300",""
"1997","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","18,900",""
"1998","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","19,600",""
"1999","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","20,400",""
"2000","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","21,400",""
"2001","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","22,100",""
"2002","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","22,400",""
"2003","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","22,700",""
"2004","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","23,100",""
"2005","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","23,500",""
"2006","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","24,100",""
"2007","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","24,500",""
"2008","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","24,400",""
"2009","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","23,300",""
"2010","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","23,200",""
"2011","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","22,900",""
"2012","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","22,200",""
"2013","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","21,900",""
"2014","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","22,300",""
"2015","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","23,100",""
"2016","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","23,800","p"
"2017","Spain","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","24,500","p"
"1991","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","24,700",""
"1992","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","25,000",""
"1993","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","24,700",""
"1994","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","25,200",""
"1995","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","25,600",""
"1996","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","25,900",""
"1997","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","26,400",""
"1998","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","27,200",""
"1999","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","28,000",""
"2000","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","28,900",""
"2001","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","29,300",""
"2002","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","29,400",""
"2003","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","29,400",""
"2004","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","30,100",""
"2005","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","30,300",""
"2006","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","30,800",""
"2007","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","31,400",""
"2008","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","31,300",""
"2009","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","30,300",""
"2010","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","30,700",""
"2011","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","31,200",""
"2012","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","31,200",""
"2013","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","31,200",""
"2014","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","31,300",""
"2015","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","31,500",""
"2016","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","31,800","p"
"2017","France","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","32,300","p"
"1991","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1992","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1993","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1994","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1995","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,700","p"
"1996","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","7,300","p"
"1997","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","7,900","p"
"1998","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","8,100","p"
"1999","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","7,700","p"
"2000","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","8,000","p"
"2001","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","8,500","p"
"2002","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","8,900","p"
"2003","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","9,400","p"
"2004","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","9,800","p"
"2005","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,200","p"
"2006","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,700","p"
"2007","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","11,200","p"
"2008","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","11,500",""
"2009","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,600",""
"2010","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,500",""
"2011","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,500",""
"2012","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,300",""
"2013","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,300",""
"2014","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,300",""
"2015","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,700",""
"2016","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","11,100",""
"2017","Croatia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","11,500",""
"1991","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1992","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1993","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1994","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1995","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","24,800",""
"1996","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","25,100",""
"1997","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","25,500",""
"1998","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","26,000",""
"1999","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","26,400",""
"2000","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","27,300",""
"2001","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","27,800",""
"2002","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","27,800",""
"2003","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","27,700",""
"2004","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","27,900",""
"2005","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","28,000",""
"2006","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","28,500",""
